state,county,persons,hud_med_inc,hud_inc_lim80
1,85,8,62900,66400
1,87,1,42800,27200
1,87,2,42800,31050
1,87,3,42800,34950
1,87,4,42800,38800
1,87,5,42800,41950
1,87,6,42800,45050
1,87,7,42800,48150
1,87,8,42800,51250
1,89,1,78700,44100
1,89,2,78700,50400
1,89,3,78700,56700
1,89,4,78700,62950
1,89,5,78700,68000
1,89,6,78700,73050
1,89,7,78700,78100
1,89,8,78700,83100
1,91,1,48000,27200
1,91,2,48000,31050
1,91,3,48000,34950
1,91,4,48000,38800
1,91,5,48000,41950
1,91,6,48000,45050
1,91,7,48000,48150
1,91,8,48000,51250
1,93,1,43900,27200
1,93,2,43900,31050
1,93,3,43900,34950
1,93,4,43900,38800
1,93,5,43900,41950
1,93,6,43900,45050
1,93,7,43900,48150
1,93,8,43900,51250
1,95,1,52700,29550
1,95,2,52700,33750
1,95,3,52700,37950
1,95,4,52700,42150
1,95,5,52700,45550
1,95,6,52700,48900
1,95,7,52700,52300
1,95,8,52700,55650
1,97,1,59800,33500
1,97,2,59800,38300
1,97,3,59800,43100
1,97,4,59800,47850
1,97,5,59800,51700
1,97,6,59800,55550
1,97,7,59800,59350
1,97,8,59800,63200
1,99,1,42000,27200
1,99,2,42000,31050
1,99,3,42000,34950
1,99,4,42000,38800
1,99,5,42000,41950
1,99,6,42000,45050
1,99,7,42000,48150
1,99,8,42000,51250
1,101,1,62900,35250
1,101,2,62900,40250
1,101,3,62900,45300
1,101,4,62900,50300
1,101,5,62900,54350
1,101,6,62900,58350
1,101,7,62900,62400
1,101,8,62900,66400
1,103,1,58700,32900
1,103,2,58700,37600
1,103,3,58700,42300
1,103,4,58700,46950
1,103,5,58700,50750
1,103,6,58700,54500
1,103,7,58700,58250
1,103,8,58700,62000
1,105,1,32000,27200
1,105,2,32000,31050
1,105,3,32000,34950
1,105,4,32000,38800
1,105,5,32000,41950
1,105,6,32000,45050
1,105,7,32000,48150
1,105,8,32000,51250
1,107,1,44100,27200
1,107,2,44100,31050
1,107,3,44100,34950
1,107,4,44100,38800
1,107,5,44100,41950
1,107,6,44100,45050
1,107,7,44100,48150
1,107,8,44100,51250
1,109,1,49200,27550
1,109,2,49200,31500
1,109,3,49200,35450
1,109,4,49200,39350
1,109,5,49200,42500
1,109,6,49200,45650
1,109,7,49200,48800
1,109,8,49200,51950
1,111,1,49100,27550
1,111,2,49100,31450
1,111,3,49100,35400
1,111,4,49100,39300
1,111,5,49100,42450
1,111,6,49100,45600
1,111,7,49100,48750
1,111,8,49100,51900
1,113,1,56000,31400
1,113,2,56000,35850
1,113,3,56000,40350
1,113,4,56000,44800
1,113,5,56000,48400
1,113,6,56000,52000
1,113,7,56000,55600
1,113,8,56000,59150
1,115,1,71000,39400
1,115,2,71000,45000
1,115,3,71000,50650
1,115,4,71000,56250
1,115,5,71000,60750
